====FIRST LIST====
9 biwefhio yehdry
2 iewoipww yehdry
3 ihwefhio yehdry
10 jdkfhryu yehdry
5 jdkfhryw yehdry
4 kjweoipo yehdry
8 meeoeoow yehdry
1 sdfwfwew yehdry
====SECOND LIST====
8 fweoiwio yehdry
10 getryutj yehdry
4 hiweinne yehdry
7 kebg9urg yehdry
0 knefijoe yehdry
2 neiheisd yehdry
1 sdfwfwew yehdry
9 tdyguipo yehdry
====NOW ITS NEW LIST====
9 biwefhio yehdry
8 fweoiwio yehdry
10 getryutj yehdry
4 hiweinne yehdry
2 iewoipww yehdry
3 ihwefhio yehdry
10 jdkfhryu yehdry
5 jdkfhryw yehdry
7 kebg9urg yehdry
4 kjweoipo yehdry
0 knefijoe yehdry
8 meeoeoow yehdry
2 neiheisd yehdry
1 sdfwfwew yehdry
1 sdfwfwew yehdry
9 tdyguipo yehdry
